fid,keychild,sector,spectype
44,7,04_PUBLIC SAFETY,"0405_DISASTER RISK REDUCTION MANAGEMENT OFFICE (LOCAL DRRMO, BARANGAY DRRMO)"
45,8,04_PUBLIC SAFETY,"0499_OTHERS, PLEASE SPECIFY"
46,1,05_AGRICULTURE AND PUBLIC ENTERPRISE,0501_PUBLIC MARKET
47,2,05_AGRICULTURE AND PUBLIC ENTERPRISE,0502_AGRICULTURAL PRODUCE MARKET (BAGSAKAN)
48,3,05_AGRICULTURE AND PUBLIC ENTERPRISE,0503_AGRICULTURAL WAREHOUSE
49,4,05_AGRICULTURE AND PUBLIC ENTERPRISE,0504_FISH LANDING CENTER
53,8,05_AGRICULTURE AND PUBLIC ENTERPRISE,0505_SLAUGHTERHOUSE
54,9,05_AGRICULTURE AND PUBLIC ENTERPRISE,0506_GO NEGOSYO CENTER
55,10,05_AGRICULTURE AND PUBLIC ENTERPRISE,"0599_OTHERS, PLEASE SPECIFY"
56,1,06_UTILITY SERVICE,0601_WELL (LEVEL I)
57,2,06_UTILITY SERVICE,0602_COMMUNAL FAUCET SYSTEM OR STANDPOST (LEVEL II)
58,3,06_UTILITY SERVICE,"0603_RESERVOIR, PIPED DISTRIBUTION WITHIN ADEQUATE NETWORK (LEVEL III)"
59,4,06_UTILITY SERVICE,0604_RAINWATER COLLECTION SYSTEM
61,6,06_UTILITY SERVICE,0605_WATER IMPOUNDING FACILITY
66,11,06_UTILITY SERVICE,0606_BARANGAY STORAGE/WAREHOUSE
67,12,06_UTILITY SERVICE,"0699_OTHERS, PLEASE SPECIFY"
68,1,07_FINANCIAL AND CREDIT INSTITUTION,0701_AUTHORIZED GOVERNMENT DEPOSITORY BANKS
70,3,07_FINANCIAL AND CREDIT INSTITUTION,0702_COMMUNITY/BARANGAY COOPERATIVE
71,4,07_FINANCIAL AND CREDIT INSTITUTION,"0799_OTHERS, PLEASE SPECIFY"
72,1,08_GARBAGE AND WASTE DISPOSAL,0801_MATERIALS RECOVERY FACILITY
73,2,08_GARBAGE AND WASTE DISPOSAL,0802_SANITARY LANDFILL
74,3,08_GARBAGE AND WASTE DISPOSAL,0803_COMPOST PIT
75,4,08_GARBAGE AND WASTE DISPOSAL,"0899_OTHERS, PLEASE SPECIFY"
76,1,09_TRANSPORT,0901_AIRPORT
77,2,09_TRANSPORT,0902_SEAPORT
78,3,09_TRANSPORT,0903_LAND TRANSPORT TERMINAL
79,4,09_TRANSPORT,"0999_OTHERS, PLEASE SPECIFY"
